train_phase,test_phase,auroc_mean,auroc_std,bal_acc_mean
final_prompt,final_prompt,0.9939236111111112,0.011395847998827799,0.9534722222222223
final_prompt,post_selector,0.9763310185185186,0.09162675115538027,0.64375
final_prompt,pre_selector,0.5,0.0,0.5
final_prompt,public_task_span,0.7715277777777778,0.09836958103590804,0.5027777777777778
final_prompt,response_first,0.9328703703703703,0.07615223341067602,0.5416666666666666
final_prompt,response_mean,0.967824074074074,0.04465211797557689,0.5513888888888889
post_selector,final_prompt,0.7965277777777778,0.18197432924115184,0.5013888888888889
post_selector,post_selector,1.0,0.0,1.0
post_selector,pre_selector,0.5,0.0,0.5
post_selector,public_task_span,0.7157407407407407,0.0935301600321484,0.5076388888888889
post_selector,response_first,0.6985532407407408,0.1332873372672738,0.5111111111111112
post_selector,response_mean,0.9255787037037037,0.08672857378339001,0.5131944444444445
pre_selector,final_prompt,0.5,0.0,0.5
pre_selector,post_selector,0.5,0.0,0.5
pre_selector,pre_selector,0.5,0.0,0.5
pre_selector,public_task_span,0.5,0.0,0.5
pre_selector,response_first,0.5,0.0,0.5
pre_selector,response_mean,0.5,0.0,0.5
public_task_span,final_prompt,0.919212962962963,0.07523280158975391,0.5659722222222222
public_task_span,post_selector,0.9019097222222222,0.13985293861216452,0.7625
public_task_span,pre_selector,0.5,0.0,0.5
public_task_span,public_task_span,0.9786458333333333,0.0403671420366873,0.8638888888888889
public_task_span,response_first,0.8802662037037037,0.10321794511026629,0.5166666666666667
public_task_span,response_mean,0.9674189814814815,0.03920341847949702,0.5881944444444444
response_first,final_prompt,0.9482060185185186,0.09239891716690235,0.6625
response_first,post_selector,0.8333912037037037,0.13454772921269917,0.58125
response_first,pre_selector,0.5,0.0,0.5
response_first,public_task_span,0.781076388888889,0.1078861311226186,0.5083333333333333
response_first,response_first,0.9858796296296296,0.02207230119544487,0.9256944444444445
response_first,response_mean,0.9795138888888889,0.050359400363594896,0.7291666666666666
response_mean,final_prompt,0.9668402777777777,0.07516869586321627,0.6256944444444444
response_mean,post_selector,1.0,0.0,0.8326388888888889
response_mean,pre_selector,0.5,0.0,0.5
response_mean,public_task_span,0.827662037037037,0.11107175478352942,0.5111111111111112
response_mean,response_first,0.9716435185185186,0.043371236943200706,0.6201388888888889
response_mean,response_mean,0.999074074074074,0.005071505162084849,0.9638888888888889
